elect_dist,total_reg
61001,1157
61002,656
61003,1227
61004,1210
61005,962
61006,1203
61007,1173
61008,1177
61009,1049
61010,1151
61011,832
61012,1166
61013,860
61014,1010
61015,1205
61016,869
61017,1215
61018,1350
61019,1199
61020,1203
61021,1263
61022,1253
61023,1246
61024,1233
61025,1254
61026,1215
61027,1239
61028,1154
61029,855
61030,1243
61031,984
61032,948
61033,711
61034,1104
61035,835
61036,597
61037,1154
61038,1148
61039,1135
61040,1190
61041,1076
61042,1176
61043,1083
61044,814
61045,822
61046,1173
61047,764
61048,800
61049,1223
61050,1148
61051,1065
61052,589
61053,1324
61054,1119
61055,985
61056,1033
61057,1301
61058,1473
61059,1287
61060,1213
61061,980
61062,746
61063,384
61064,309
61065,923
61069,802
61070,1122
62001,1259
62002,1187
62003,1151
62004,1198
62005,1176
62006,1159
62007,986
62008,1320
62009,519
62010,721
62011,1255
62012,1355
62013,1471
62014,1340
62015,1310
62016,1218
62017,1236
62018,1246
62019,1182
62020,1179
62021,1012
62022,1216
62023,1141
62024,1179
62025,1206
62026,1187
62027,1226
62028,1176
62029,1079
62030,1187
62031,1170
62032,1178
62033,1202
62034,1283
62035,1187
62036,1187
62037,1194
62038,1160
62039,1182
62040,1188
62041,1179
62042,1255
62043,1158
62044,1239
62045,1108
62046,1134
62047,1198
62048,1149
62049,1138
62050,1061
62051,1210
62052,1106
62053,1226
62054,1171
62055,1063
62056,1229
62057,1108
62058,1165
62059,749
62060,732
62061,807
62062,763
62063,602
62064,580
62065,1188
62066,1111
62067,1185
62068,1180
62069,845
62070,579
62071,1084
62072,837
62073,1190
62076,622
63001,1185
63002,957
63003,739
63004,1102
63005,1098
63006,1147
63007,1322
63008,947
63009,83
63010,466
63011,1245
63012,1227
63013,1274
63014,1201
63015,1203
63016,1140
63017,746
63018,1118
63019,616
63020,688
63021,1233
63022,1150
63023,900
63024,1197
63025,1053
63026,1100
63027,1045
63028,1112
63029,1255
63030,1168
63031,1180
63032,1223
63033,1066
63034,729
63035,976
63036,1040
63037,1300
63038,1307
63039,1344
63040,854
63041,795
63042,1163
63043,1222
63044,684
63045,1010
63046,500
63047,1233
63048,1014
63049,1108
63050,1186
63051,864
63052,751
63053,971
63054,1168
63055,1010
63056,1093
63057,1269
63058,1282
63059,1163
63060,1136
63061,909
63062,580
63063,1059
63064,1109
63065,1012
63066,922
63067,752
63068,1294
63069,820
63070,629
63071,777
63072,890
63073,986
63074,478
63075,703
63081,784
64001,1189
64002,1214
64003,1101
64004,1208
64005,1204
64006,1171
64007,1193
64008,1217
64009,1175
64010,1180
64011,353
64012,867
64013,433
64014,1223
64015,1096
64016,1199
64017,1167
64018,1171
64019,1022
64020,1213
64021,997
64022,1153
64023,1110
64024,1111
64025,1160
64026,1148
64027,1154
64028,995
64029,1180
64030,955
64031,1167
64032,1189
64033,1072
64034,1043
64035,1146
64036,1127
64037,777
64038,799
64039,1203
64040,1201
64041,1231
64042,1167
64043,1149
64044,1163
64045,618
64046,788
64047,942
64048,515
64049,909
64050,1208
64051,1207
64052,1145
64053,969
64062,472
41080,146
45007,81
45008,753
45009,981
45010,425
45011,989
45013,1041
45014,1144
45015,245
45016,1156
45017,677
45019,804
45020,613
45021,812
45022,909
45023,1036
45026,802
45027,904
45028,622
45029,519
45030,1136
45031,929
45032,700
45033,803
45034,1142
45035,628
45036,542
45037,765
45038,567
45040,895
45041,313
45042,767
45043,965
45044,443
45045,902
45046,1397
45047,136
45048,1237
45055,70
45057,924
45071,602
46031,1106
46034,600
46035,499
46036,1085
46037,8
46038,1236
46039,1212
46040,341
46041,1075
46042,598
46047,1074
46048,1081
46049,1033
46050,1188
46051,1037
46052,1129
46053,1068
46054,957
46055,1212
46056,1083
46057,1029
46058,1061
46059,1149
46060,1241
46061,1033
46062,1254
46063,828
46064,1188
46065,1140
46066,784
46067,1165
46068,980
46069,947
46070,927
46071,1027
46072,1200
46074,198
46076,1
46078,741
46079,874
47001,1138
47002,1228
47005,873
47006,1031
47007,932
47008,772
47009,1123
47011,835
47012,978
47013,997
47014,945
47015,1127
47016,839
47017,708
47018,1099
47019,225
47032,225
47038,232
47041,868
47048,789
47049,855
47053,754
47054,676
47055,990
47056,606
47057,703
47058,484
47059,767
47060,362
47061,849
47062,988
47063,1075
47064,943
47065,834
47066,411
47067,493
47068,211
49036,337
49044,382
49045,318
49047,914
49048,1122
49049,1027
49050,1192
49051,855
49052,1249
49053,1024
49054,677
49063,583
51059,1187
64075,1267
64076,1230
64077,1139
64078,1229
64079,1077
64080,1068
64081,527
64083,856
64084,982
64085,865
64086,2002
64087,858
64088,1108
64089,938
64090,1011
64091,504
64098,830
