elect_dist,year,total_votes,total_reg,turnout_reg_prop
61001,2016,804,1157,0.6949006050129646
61002,2016,396,656,0.6036585365853658
61003,2016,852,1227,0.6943765281173594
61004,2016,812,1210,0.6710743801652893
61005,2016,559,962,0.581081081081081
61006,2016,638,1203,0.5303408146300914
61007,2016,575,1173,0.49019607843137253
61008,2016,620,1177,0.5267629566694987
61009,2016,641,1049,0.6110581506196378
61010,2016,683,1151,0.5933970460469157
61011,2016,506,832,0.6081730769230769
61012,2016,859,1166,0.7367066895368782
61013,2016,574,860,0.6674418604651163
61014,2016,617,1010,0.6108910891089109
61015,2016,732,1205,0.6074688796680497
61016,2016,487,869,0.5604142692750288
61017,2016,631,1215,0.5193415637860083
61018,2016,752,1350,0.557037037037037
61019,2016,736,1199,0.6138448707256047
61020,2016,726,1203,0.6034912718204489
61021,2016,656,1263,0.5193982581155978
61022,2016,708,1253,0.5650438946528332
61023,2016,732,1246,0.5874799357945425
61024,2016,748,1233,0.6066504460665044
61025,2016,754,1254,0.6012759170653907
61026,2016,690,1215,0.5679012345679012
61027,2016,720,1239,0.5811138014527845
61028,2016,703,1154,0.6091854419410745
61029,2016,550,855,0.6432748538011696
61030,2016,782,1243,0.6291230893000804
61031,2016,604,984,0.6138211382113821
61032,2016,537,948,0.5664556962025317
61033,2016,431,711,0.6061884669479606
61034,2016,735,1104,0.6657608695652174
61035,2016,563,835,0.6742514970059881
61036,2016,398,597,0.6666666666666666
61037,2016,650,1154,0.5632582322357019
61038,2016,775,1148,0.6750871080139372
61039,2016,827,1135,0.7286343612334801
61040,2016,868,1190,0.7294117647058823
61041,2016,774,1076,0.7193308550185874
61042,2016,887,1176,0.7542517006802721
61043,2016,746,1083,0.6888273314866112
61044,2016,536,814,0.6584766584766585
61045,2016,601,822,0.7311435523114356
61046,2016,785,1173,0.6692242114236999
61047,2016,529,764,0.6924083769633508
61048,2016,581,800,0.72625
61049,2016,709,1223,0.5797219950940311
61050,2016,647,1148,0.563588850174216
61051,2016,666,1065,0.6253521126760564
61052,2016,405,589,0.6876061120543294
61053,2016,694,1324,0.5241691842900302
61054,2016,524,1119,0.4682752457551385
61055,2016,564,985,0.5725888324873096
61056,2016,567,1033,0.5488867376573088
61057,2016,792,1301,0.6087624903920061
61058,2016,800,1473,0.5431093007467753
61059,2016,794,1287,0.616938616938617
61060,2016,626,1213,0.516075845012366
61061,2016,551,980,0.5622448979591836
61062,2016,478,746,0.6407506702412868
61063,2016,226,384,0.5885416666666666
61064,2016,224,309,0.7249190938511327
61065,2016,531,923,0.5752979414951246
61069,2016,473,802,0.5897755610972568
61070,2016,508,1122,0.45276292335115864
62001,2016,868,1259,0.6894360603653693
62002,2016,851,1187,0.7169334456613311
62003,2016,784,1151,0.6811468288444831
62004,2016,808,1198,0.674457429048414
62005,2016,814,1176,0.6921768707482994
62006,2016,766,1159,0.6609145815358067
62007,2016,671,986,0.6805273833671399
62008,2016,881,1320,0.6674242424242425
62009,2016,361,519,0.6955684007707129
62010,2016,483,721,0.6699029126213593
62011,2016,850,1255,0.6772908366533864
62012,2016,882,1355,0.6509225092250922
62013,2016,969,1471,0.6587355540448674
62014,2016,887,1340,0.6619402985074627
62015,2016,859,1310,0.6557251908396946
62016,2016,805,1218,0.6609195402298851
62017,2016,815,1236,0.6593851132686084
62018,2016,856,1246,0.6869983948635634
62019,2016,835,1182,0.7064297800338409
62020,2016,791,1179,0.6709075487701441
62021,2016,704,1012,0.6956521739130435
62022,2016,820,1216,0.6743421052631579
62023,2016,815,1141,0.7142857142857143
62024,2016,711,1179,0.6030534351145038
62025,2016,817,1206,0.6774461028192371
62026,2016,794,1187,0.6689132266217355
62027,2016,849,1226,0.6924959216965743
62028,2016,781,1176,0.6641156462585034
62029,2016,682,1079,0.6320667284522706
62030,2016,805,1187,0.6781802864363943
62031,2016,755,1170,0.6452991452991453
62032,2016,811,1178,0.6884550084889643
62033,2016,810,1202,0.6738768718801996
62034,2016,831,1283,0.6477007014809041
62035,2016,773,1187,0.6512215669755687
62036,2016,800,1187,0.6739679865206403
62037,2016,849,1194,0.7110552763819096
62038,2016,802,1160,0.6913793103448276
62039,2016,788,1182,0.6666666666666666
62040,2016,786,1188,0.6616161616161617
62041,2016,794,1179,0.6734520780322307
62042,2016,894,1255,0.7123505976095618
62043,2016,754,1158,0.6511226252158895
62044,2016,846,1239,0.6828087167070218
62045,2016,716,1108,0.6462093862815884
62046,2016,772,1134,0.6807760141093474
62047,2016,803,1198,0.6702838063439065
62048,2016,746,1149,0.6492602262837249
62049,2016,750,1138,0.6590509666080844
62050,2016,743,1061,0.700282752120641
62051,2016,707,1210,0.584297520661157
62052,2016,760,1106,0.6871609403254972
62053,2016,841,1226,0.6859706362153344
62054,2016,753,1171,0.6430401366353544
62055,2016,744,1063,0.6999059266227657
62056,2016,808,1229,0.6574450772986168
62057,2016,728,1108,0.6570397111913358
62058,2016,817,1165,0.7012875536480687
62059,2016,513,749,0.684913217623498
62060,2016,467,732,0.6379781420765027
62061,2016,538,807,0.6666666666666666
62062,2016,491,763,0.6435124508519003
62063,2016,396,602,0.6578073089700996
62064,2016,404,580,0.696551724137931
62065,2016,839,1188,0.7062289562289562
62066,2016,781,1111,0.7029702970297029
62067,2016,787,1185,0.6641350210970464
62068,2016,787,1180,0.6669491525423729
62069,2016,575,845,0.6804733727810651
62070,2016,358,579,0.6183074265975821
62071,2016,782,1084,0.7214022140221402
62072,2016,600,837,0.7168458781362007
62073,2016,826,1190,0.6941176470588235
62076,2016,433,622,0.6961414790996785
63001,2016,790,1185,0.6666666666666666
63002,2016,602,957,0.6290491118077325
63003,2016,457,739,0.618403247631935
63004,2016,702,1102,0.6370235934664247
63005,2016,699,1098,0.6366120218579235
63006,2016,731,1147,0.6373147340889277
63007,2016,767,1322,0.5801815431164902
63008,2016,602,947,0.6356916578669483
63009,2016,58,83,0.6987951807228916
63010,2016,317,466,0.6802575107296137
63011,2016,809,1245,0.6497991967871486
63012,2016,799,1227,0.6511817440912795
63013,2016,792,1274,0.6216640502354788
63014,2016,681,1201,0.5670274771024146
63015,2016,745,1203,0.6192851205320034
63016,2016,668,1140,0.5859649122807018
63017,2016,259,746,0.34718498659517427
63018,2016,753,1118,0.6735241502683363
63019,2016,393,616,0.637987012987013
63020,2016,445,688,0.6468023255813954
63021,2016,730,1233,0.592051905920519
63022,2016,711,1150,0.6182608695652174
63023,2016,546,900,0.6066666666666667
63024,2016,713,1197,0.595655806182122
63025,2016,598,1053,0.5679012345679012
63026,2016,707,1100,0.6427272727272727
63027,2016,633,1045,0.6057416267942584
63028,2016,740,1112,0.6654676258992805
63029,2016,806,1255,0.6422310756972112
63030,2016,688,1168,0.589041095890411
63031,2016,707,1180,0.5991525423728814
63032,2016,805,1223,0.6582174979558463
63033,2016,729,1066,0.6838649155722326
63034,2016,473,729,0.6488340192043895
63035,2016,705,976,0.7223360655737705
63036,2016,741,1040,0.7125
63037,2016,775,1300,0.5961538461538461
63038,2016,769,1307,0.5883703136954859
63039,2016,773,1344,0.5751488095238095
63040,2016,462,854,0.5409836065573771
63041,2016,376,795,0.4729559748427673
63042,2016,558,1163,0.47979363714531387
63043,2016,706,1222,0.5777414075286416
63044,2016,377,684,0.5511695906432749
63045,2016,504,1010,0.499009900990099
63046,2016,352,500,0.704
63047,2016,822,1233,0.6666666666666666
63048,2016,710,1014,0.7001972386587771
63049,2016,734,1108,0.6624548736462094
63050,2016,808,1186,0.6812816188870152
63051,2016,611,864,0.7071759259259259
63052,2016,518,751,0.6897470039946738
63053,2016,623,971,0.6416065911431514
63054,2016,780,1168,0.6678082191780822
63055,2016,617,1010,0.6108910891089109
63056,2016,675,1093,0.6175663311985361
63057,2016,765,1269,0.6028368794326241
63058,2016,824,1282,0.6427457098283932
63059,2016,780,1163,0.6706792777300086
63060,2016,748,1136,0.6584507042253521
63061,2016,633,909,0.6963696369636964
63062,2016,453,580,0.7810344827586206
63063,2016,737,1059,0.6959395656279509
63064,2016,825,1109,0.7439134355275022
63065,2016,681,1012,0.6729249011857708
63066,2016,648,922,0.702819956616052
63067,2016,570,752,0.7579787234042553
63068,2016,759,1294,0.5865533230293664
63069,2016,514,820,0.6268292682926829
63070,2016,389,629,0.6184419713831478
63071,2016,426,777,0.5482625482625483
63072,2016,628,890,0.7056179775280899
63073,2016,663,986,0.6724137931034483
63074,2016,329,478,0.6882845188284519
63075,2016,412,703,0.5860597439544808
63081,2016,551,784,0.7028061224489796
64001,2016,769,1189,0.6467619848612279
64002,2016,813,1214,0.6696869851729819
64003,2016,772,1101,0.701180744777475
64004,2016,779,1208,0.6448675496688742
64005,2016,826,1204,0.686046511627907
64006,2016,778,1171,0.6643894107600341
64007,2016,806,1193,0.6756077116512993
64008,2016,805,1217,0.6614626129827444
64009,2016,792,1175,0.6740425531914893
64010,2016,818,1180,0.6932203389830508
64011,2016,252,353,0.7138810198300283
64012,2016,543,867,0.6262975778546713
64013,2016,257,433,0.5935334872979214
64014,2016,803,1223,0.6565821749795585
64015,2016,760,1096,0.6934306569343066
64016,2016,824,1199,0.6872393661384487
64017,2016,825,1167,0.7069408740359897
64018,2016,723,1171,0.6174210076857387
64019,2016,526,1022,0.5146771037181996
64020,2016,744,1213,0.6133553173948887
64021,2016,590,997,0.5917753259779338
64022,2016,743,1153,0.6444058976582827
64023,2016,748,1110,0.6738738738738739
64024,2016,645,1111,0.5805580558055805
64025,2016,675,1160,0.5818965517241379
64026,2016,750,1148,0.6533101045296167
64027,2016,656,1154,0.5684575389948007
64028,2016,546,995,0.5487437185929648
64029,2016,745,1180,0.6313559322033898
64030,2016,584,955,0.6115183246073298
64031,2016,694,1167,0.5946872322193659
64032,2016,756,1189,0.6358284272497897
64033,2016,678,1072,0.6324626865671642
64034,2016,661,1043,0.6337488015340365
64035,2016,754,1146,0.6579406631762653
64036,2016,683,1127,0.6060337178349601
64037,2016,534,777,0.6872586872586872
64038,2016,489,799,0.6120150187734669
64039,2016,736,1203,0.6118038237738986
64040,2016,621,1201,0.5170691090757702
64041,2016,722,1231,0.586515028432169
64042,2016,669,1167,0.5732647814910026
64043,2016,605,1149,0.5265448215839861
64044,2016,710,1163,0.6104901117798797
64045,2016,391,618,0.6326860841423948
64046,2016,481,788,0.6104060913705583
64047,2016,602,942,0.6390658174097664
64048,2016,357,515,0.6932038834951456
64049,2016,582,909,0.6402640264026402
64050,2016,728,1208,0.6026490066225165
64051,2016,693,1207,0.5741507870753936
64052,2016,704,1145,0.6148471615720524
64053,2016,602,969,0.6212590299277606
64062,2016,279,472,0.5911016949152542
